domain,agency,status,redirect,https,dot_gov,www
americorpsoig.gov,Corporation for National & Community Service,200,https://www.americorpsoig.gov/,true,true,true
mentor.gov,Corporation for National & Community Service,500,undefined,undefined,undefined,false
mlkday.gov,Corporation for National & Community Service,500,undefined,undefined,undefined,false
nationalservice.gov,Corporation for National & Community Service,500,undefined,undefined,undefined,false
presidentialserviceawards.gov,Corporation for National & Community Service,200,https://presidentialserviceawards.gov/,true,true,false
cigie.gov,Council of Inspectors General on Integrity and Efficiency,200,http://www.cigie.gov/,false,true,false
ignet.gov,Council of Inspectors General on Integrity and Efficiency,200,https://www.ignet.gov/,true,true,true
serve.gov,Corporation for National & Community Service,500,undefined,undefined,undefined,false
vistacampus.gov,Corporation for National & Community Service,500,undefined,undefined,undefined,false
volunteeringinamerica.gov,Corporation for National & Community Service,500,undefined,undefined,undefined,false
pandemicoversight.gov,Council of Inspectors General on Integrity and Efficiency,200,https://www.pandemicoversight.gov/,true,true,false
oversight.gov,Council of Inspectors General on Integrity and Efficiency,200,https://www.oversight.gov/,true,true,true
dnfsb.gov,Defense Nuclear Facilities Safety Board,200,http://www.dnfsb.gov/,false,true,false
dra.gov,Delta Regional Authority,200,https://dra.gov/,true,true,true
csosa.gov,Court Services and Offender Supervision,200,https://www.csosa.gov/,true,true,true
2020census.gov,Department of Commerce,503,https://2020census.gov/,true,true,false
aviationweather.gov,Department of Commerce,200,https://aviationweather.gov/,true,true,true
ap.gov,Department of Commerce,200,https://www.bis.doc.gov/index.php/other-areas/additional-protocol-ap,true,true,true
bea.gov,Department of Commerce,200,https://www.bea.gov/,true,true,true
bis.gov,Department of Commerce,200,https://beta.bis.gov/,true,true,true
buyusa.gov,Department of Commerce,200,http://www.buyusa.gov/,false,true,false
bldrdoc.gov,Department of Commerce,200,http://www.bldrdoc.gov/,false,true,false
census.gov,Department of Commerce,200,https://www.census.gov/,true,true,true
pretrialservices.gov,Court Services and Offender Supervision,500,undefined,undefined,undefined,false
psa.gov,Court Services and Offender Supervision,500,undefined,undefined,undefined,false
climate.gov,Department of Commerce,200,https://www.climate.gov/,true,true,true
chips.gov,Department of Commerce,200,https://www.nist.gov/chips,true,true,true
cwc.gov,Department of Commerce,404,http://cwc.gov/,false,true,false
commerce.gov,Department of Commerce,200,https://www.commerce.gov/,true,true,true
denali.gov,Denali Commission,500,undefined,undefined,undefined,false
dnsops.gov,Department of Commerce,500,undefined,undefined,undefined,false
doc.gov,Department of Commerce,500,undefined,undefined,undefined,false
dataprivacyframework.gov,Department of Commerce,500,undefined,undefined,undefined,false
drought.gov,Department of Commerce,500,undefined,undefined,undefined,false
firstnet.gov,Department of Commerce,200,https://firstnet.gov/,true,true,false
eda.gov,Department of Commerce,200,https://www.eda.gov/,true,true,true
edison.gov,Department of Commerce,200,https://www.nist.gov/iedison,true,true,true
export.gov,Department of Commerce,200,https://www.trade.gov/export-solutions,true,true,true
fishwatch.gov,Department of Commerce,200,https://www.fisheries.noaa.gov/topic/sustainable-seafood,true,true,false
gps.gov,Department of Commerce,200,https://www.gps.gov/,true,true,true
goes-r.gov,Department of Commerce,200,https://www.goes-r.gov/,true,true,true
icams-portal.gov,Department of Commerce,200,https://www.icams-portal.gov/,true,true,true
heat.gov,Department of Commerce,200,https://www.heat.gov/,true,true,true
hurricanes.gov,Department of Commerce,200,https://www.nhc.noaa.gov/,true,true,true
iedison.gov,Department of Commerce,200,https://www.nist.gov/iedison,true,true,true
luca-appeals.gov,Department of Commerce,500,undefined,undefined,undefined,false
internetforall.gov,Department of Commerce,200,https://www.internetforall.gov/,true,true,true
internet4all.gov,Department of Commerce,200,https://www.internetforall.gov/,true,true,false
manufacturing.gov,Department of Commerce,200,https://www.manufacturing.gov/,true,true,true
marinecadastre.gov,Department of Commerce,200,https://marinecadastre.gov/,true,true,false
mbda.gov,Department of Commerce,200,https://www.mbda.gov/,true,true,true
my2020census.gov,Department of Commerce,400,http://my2020census.gov/,false,true,false
nist.gov,Department of Commerce,200,https://www.nist.gov/,true,true,true
nehrp.gov,Department of Commerce,200,https://nehrp.gov/,true,true,false
mgi.gov,Department of Commerce,200,https://www.mgi.gov/,true,true,true
noaa.gov,Department of Commerce,403,https://www.noaa.gov/,true,true,true
ntia.gov,Department of Commerce,404,http://ntia.gov/,false,true,false
papahanaumokuakea.gov,Department of Commerce,200,https://www.papahanaumokuakea.gov/,true,true,true
nwirp.gov,Department of Commerce,200,http://www.nwirp.gov/,false,true,false
privacyshield.gov,Department of Commerce,200,https://www.dataprivacyframework.gov/,true,true,true
pscr.gov,Department of Commerce,200,https://www.nist.gov/ctl/pscr,true,true,true
sdr.gov,Department of Commerce,200,https://www.sdr.gov/,true,true,true
icts.gov,Department of Commerce,200,http://www.icts.gov/,false,true,false
selectusa.gov,Department of Commerce,200,https://www.trade.gov/selectusa-home,true,true,true
semiconductors.gov,Department of Commerce,200,https://www.nist.gov/chips,true,true,true
spaceweather.gov,Department of Commerce,200,https://www.spaceweather.gov/,true,true,true
spectrum.gov,Department of Commerce,200,https://www.ntia.gov/other-publication/2017/federal-government-spectrum-compendium,true,true,true
spd15revision.gov,Department of Commerce,200,https://spd15revision.gov/,true,true,false
standards.gov,Department of Commerce,200,https://www.nist.gov/standardsgov,true,true,true
sworm.gov,Department of Commerce,200,https://www.sworm.gov/,true,true,true
ntis.gov,Department of Commerce,200,https://www.ntis.gov/,true,true,false
ofcm.gov,Department of Commerce,500,undefined,undefined,undefined,false
stopfakes.gov,Department of Commerce,200,https://www.stopfakes.gov/welcome,true,true,true
tsunami.gov,Department of Commerce,200,https://tsunami.gov/,true,true,false
trade.gov,Department of Commerce,200,https://www.trade.gov/,true,true,true
tasefiling.gov,Department of Commerce,200,https://itatasb2c.b2clogin.com/273317c2-6fdc-4d1f-8000-6d9fc6ca17a3/b2c_1_tasportalapp/oauth2/v2.0/authorize?client_id=380dcc7e-7e25-4594-90d9-ca2efc305ba3&redirect_uri=https%3A%2F%2Ftasefiling.powerappsportals.us%2Fsignin-aad-b2c_1&response_type=code%20id_token&scope=openid&state=OpenIdConnect.AuthenticationProperties%3D87ftLIEJsM7mbLcxgUC6FxzZUe9VQNI-1QSjTwl4hns7iRBe6Vmp24nlpVKqvKOWFbHEhNult1J4cxqv3_DDvjsmf2ctxkr9PKuTAw_Kq2hiCD5hzhH1cpdVv0uPyAQZChvU3_ed5zwhckiKG-PCH254tH1qw_YtaNwg6j0X_Y9vX-75SDMh8k1tTjxZZMyFg8R6_69K6nHWb4942vGDu8GUtDCZQwogAo44mBGQ75qaaX9ISQ5V8ddtbFhzhSkP_jwupvD5qpSwZjT1p18P74zrHr1UNBt7jK4KFNKR0ikf9OGgfy-fUVP8BJ9WnMqB2HIcq3nLT2Ih9IGYuM2SrHta80ZsSCM67s75z4yfjWXDpEwoSJYU_GovipUSSl-nzBXf9FfTWAbb9ZdfucTYHBmyBW2A39AF2wxQkALeFOpt6YnslyGJf0B5Ot682scK&response_mode=form_post&nonce=638453695076241464.ZWViNmE2YjMtNmQxNi00MmFkLWExMWYtMTk2NWE2MjkwNTdkOTk2MTNlZjItNjFhMy00ODk3LTkwYmEtYmFkMGNmZTk1NWY3&ui_locales=en-US&x-client-SKU=ID_NET461&x-client-ver=5.3.0.0,true,false,false
time.gov,Department of Commerce,500,undefined,undefined,undefined,false
usicecenter.gov,Department of Commerce,200,https://usicecenter.gov/,true,true,false
weather.gov,Department of Commerce,200,https://www.weather.gov/,true,true,true
uspto.gov,Department of Commerce,200,https://www.uspto.gov/,true,true,true
xd.gov,Department of Commerce,200,https://www.xd.gov/,true,true,true
adlnet.gov,Department of Defense,200,https://adlnet.gov/,true,true,false
wwtg.gov,Department of Commerce,200,https://www.wwtg.gov/,true,true,true
businessdefense.gov,Department of Defense,200,https://www.businessdefense.gov/,true,true,false
aftac.gov,Department of Defense,200,http://www.aftac.gov/,false,true,false
techhubs.gov,Department of Commerce,200,https://www.eda.gov/funding/programs/regional-technology-and-innovation-hubs,true,true,true
cmts.gov,Department of Defense,200,https://www.cmts.gov/,true,true,true
cap.gov,Department of Defense,200,https://www.gocivilairpatrol.com/,true,false,true
cnss.gov,Department of Defense,500,undefined,undefined,undefined,false
capnhq.gov,Department of Defense,200,https://capnhq.gov/Default.aspx?ReturnUrl=%2f,true,true,false
ctoc.gov,Department of Defense,500,undefined,undefined,undefined,false
defense.gov,Department of Defense,200,https://www.defense.gov/,true,true,true
cttso.gov,Department of Defense,200,https://cttso.gov/,true,true,false
fvap.gov,Department of Defense,200,https://www.fvap.gov/,true,true,true
iad.gov,Department of Defense,500,undefined,undefined,undefined,false
dc3on.gov,Department of Defense,200,http://www.dc3on.gov/,false,true,false
ioss.gov,Department of Defense,500,undefined,undefined,undefined,false
intelligencecareers.gov,Department of Defense,200,https://www.intelligencecareers.gov/,true,true,false
iwtsd.gov,Department of Defense,200,https://iwtsd.gov/,true,true,false
altusandc.gov,Department of Defense,500,undefined,undefined,undefined,false
itc.gov,Department of Defense,200,http://www.itc.gov/,false,true,false
lps.gov,Department of Defense,200,http://www.lps.gov/,false,true,false
fehrm.gov,Department of Defense,200,https://www.fehrm.gov/,true,true,false
mtmc.gov,Department of Defense,200,http://www.mtmc.gov/,false,true,false
hive.gov,Department of Defense,200,https://www.hive.gov/,true,true,false
jccs.gov,Department of Defense,500,undefined,undefined,undefined,false
mypay.gov,Department of Defense,500,undefined,undefined,undefined,false
nationalresourcedirectory.gov,Department of Defense,200,http://nationalresourcedirectory.gov/,false,true,false
nrd.gov,Department of Defense,200,http://nrd.gov/,false,true,false
nro.gov,Department of Defense,200,https://www.nro.gov/,true,true,false
nsa.gov,Department of Defense,200,https://www.nsa.gov/,true,true,true
oneaftac.gov,Department of Defense,500,undefined,undefined,undefined,false
nsep.gov,Department of Defense,426,https://dlnseo.org/NSEP,true,false,true
nbib.gov,Department of Defense,200,https://www.dcsa.mil/,true,true,true
tak.gov,Department of Defense,400,http://tak.gov/,false,true,false
tswg.gov,Department of Defense,200,https://tswg.gov/,true,true,false
oea.gov,Department of Defense,200,http://www.oea.gov/,false,true,false
budgetlob.gov,Department of Education,404,https://budgetlob.gov/,true,true,true
childstats.gov,Department of Education,200,https://www.childstats.gov/,true,true,true
fafsa.gov,Department of Education,200,https://studentaid.gov/h/apply-for-aid/fafsa,true,true,true
collegenavigator.gov,Department of Education,200,https://nces.ed.gov/collegenavigator/,true,true,true
ed.gov,Department of Education,200,https://www.ed.gov/,true,true,true
g5.gov,Department of Education,200,https://g5.gov/,true,true,false
nagb.gov,Department of Education,200,https://www.nagb.gov/,true,true,true
nationsreportcard.gov,Department of Education,200,https://www.nationsreportcard.gov/,true,true,true
studentaid.gov,Department of Education,200,https://studentaid.gov/,true,true,true
ameslab.gov,Department of Energy,200,https://www.ameslab.gov/,true,true,false
anl.gov,Department of Energy,200,https://www.anl.gov/,true,true,false
arm.gov,Department of Energy,200,https://arm.gov/,true,true,false
oldcc.gov,Department of Defense,500,undefined,undefined,undefined,false
biomassboard.gov,Department of Energy,200,https://biomassboard.gov/,true,true,false
usandc.gov,Department of Defense,500,undefined,undefined,undefined,false
bnl.gov,Department of Energy,200,https://www.bnl.gov/world/,true,true,true
bpa.gov,Department of Energy,200,https://www.bpa.gov/,true,true,true
studentloans.gov,Department of Education,500,undefined,undefined,undefined,false
cendi.gov,Department of Energy,200,https://cendi.gov/,true,true,false
cebaf.gov,Department of Energy,200,http://www.cebaf.gov/,false,true,false
doe.gov,Department of Energy,200,https://www.energy.gov/,true,true,true
driveelectric.gov,Department of Energy,200,https://driveelectric.gov/,true,true,true
energy.gov,Department of Energy,200,https://www.energy.gov/,true,true,true
citap.gov,Department of Energy,200,http://www.citap.gov/,false,true,false
casl.gov,Department of Energy,200,https://casl.gov/,true,true,true
energycommunities.gov,Department of Energy,200,https://energycommunities.gov/,true,true,true
energycodes.gov,Department of Energy,200,https://www.energycodes.gov/,true,true,true
energysavers.gov,Department of Energy,200,https://www.energy.gov/energysaver/energy-saver,true,true,false
buildingamerica.gov,Department of Energy,500,undefined,undefined,undefined,false
fnal.gov,Department of Energy,200,https://fnal.gov/,true,true,false
fueleconomy.gov,Department of Energy,200,https://fueleconomy.gov/,true,true,false
homeenergyscore.gov,Department of Energy,500,undefined,undefined,undefined,false
hanford.gov,Department of Energy,500,undefined,undefined,undefined,false
inel.gov,Department of Energy,500,undefined,undefined,undefined,false
hydrogen.gov,Department of Energy,200,https://www.hydrogen.energy.gov/interagency,true,true,true
inl.gov,Department of Energy,200,https://inl.gov/,true,true,true
isotopes.gov,Department of Energy,200,https://isotopes.gov/,true,true,false
lbl.gov,Department of Energy,200,https://www.lbl.gov/,true,true,true
lanl.gov,Department of Energy,200,https://lanl.gov/,true,true,false
eia.gov,Department of Energy,200,https://www.eia.gov/,true,true,false
llnl.gov,Department of Energy,200,https://www.llnl.gov/,true,true,true
ncrc.gov,Department of Energy,200,https://www.ncrc.gov/,true,true,false
nccs.gov,Department of Energy,500,undefined,undefined,undefined,false
energysaver.gov,Department of Energy,200,http://www.energysaver.gov/,false,true,false
neup.gov,Department of Energy,200,https://neup.inl.gov/SitePages/Home.aspx,true,true,true
nrel.gov,Department of Energy,200,https://www.nrel.gov/,true,true,true
nersc.gov,Department of Energy,200,https://www.nersc.gov/,true,true,true
nnss.gov,Department of Energy,200,https://nnss.gov/,true,true,true
nrelhub.gov,Department of Energy,200,http://www.nrelhub.gov/,false,true,false
nuclear.gov,Department of Energy,500,undefined,undefined,undefined,false
ornl.gov,Department of Energy,200,https://www.ornl.gov/,true,true,true
orau.gov,Department of Energy,200,https://orise.orau.gov/index.html,true,true,true
ntrc.gov,Department of Energy,200,http://www.ntrc.gov/,false,true,false
isotope.gov,Department of Energy,500,undefined,undefined,undefined,false
osti.gov,Department of Energy,200,https://www.osti.gov/,true,true,true
pnnl.gov,Department of Energy,200,https://www.pnnl.gov/,true,true,true
pnl.gov,Department of Energy,200,https://www.pnnl.gov/,true,true,true
pcast.gov,Department of Energy,200,http://www.pcast.gov/,false,true,false
rideelectric.gov,Department of Energy,200,https://driveelectric.gov/ride,true,true,true
pppo.gov,Department of Energy,200,http://www.pppo.gov/,false,true,false
pr100.gov,Department of Energy,500,undefined,undefined,undefined,false
rl.gov,Department of Energy,200,http://www.rl.gov/,false,true,false
scidac.gov,Department of Energy,200,https://scidac.gov/,true,true,false
sandia.gov,Department of Energy,200,https://www.sandia.gov/,true,true,true
sns.gov,Department of Energy,200,https://sns.gov/,true,true,false
smartgrid.gov,Department of Energy,200,https://smartgrid.gov/archive/recovery_act/,true,true,false
science.gov,Department of Energy,200,https://www.science.gov/,true,true,true
solardecathlon.gov,Department of Energy,200,https://www.solardecathlon.gov/,true,true,false
srs.gov,Department of Energy,200,https://www.srs.gov/,true,true,false
srnl.gov,Department of Energy,200,https://www.srnl.gov/,true,true,true
pppl.gov,Department of Energy,200,https://www.pppl.gov/,true,true,false
unnpp.gov,Department of Energy,200,http://www.unnpp.gov/,false,true,false
swpa.gov,Department of Energy,500,undefined,undefined,undefined,false
ymp.gov,Department of Energy,500,undefined,undefined,undefined,false
acf.gov,Department of Health and Human Services,500,undefined,undefined,undefined,false
988.gov,Department of Health and Human Services,200,https://988lifeline.org/,true,false,true
acl.gov,Department of Health and Human Services,200,https://acl.gov/,true,true,true
safgrandchallenge.gov,Department of Energy,200,http://www.safgrandchallenge.gov/,false,true,false
aging.gov,Department of Health and Human Services,200,https://www.hhs.gov/aging/index.html,true,true,true
agingstats.gov,Department of Health and Human Services,200,https://agingstats.gov/,true,true,false
ahcpr.gov,Department of Health and Human Services,200,https://www.ahrq.gov/,true,true,true
unrpnet.gov,Department of Energy,500,undefined,undefined,undefined,false
ahrq.gov,Department of Health and Human Services,200,https://www.ahrq.gov/,true,true,true
wapa.gov,Department of Energy,500,undefined,undefined,undefined,false
aids.gov,Department of Health and Human Services,200,https://www.hiv.gov/,true,true,true
arpa-h.gov,Department of Health and Human Services,200,http://arpa-h.gov/,false,true,false
alzheimers.gov,Department of Health and Human Services,200,https://www.alzheimers.gov/,true,true,true
aoa.gov,Department of Health and Human Services,200,https://acl.gov/,true,true,true
afterschool.gov,Department of Health and Human Services,500,undefined,undefined,undefined,false
arpah.gov,Department of Health and Human Services,500,undefined,undefined,undefined,false
aspr.gov,Department of Health and Human Services,200,https://aspr.hhs.gov/Pages/Home.aspx,true,true,true
bam.gov,Department of Health and Human Services,200,http://www.bam.gov/,false,true,false
betobaccofree.gov,Department of Health and Human Services,200,https://betobaccofree.hhs.gov/,true,true,true
brainhealth.gov,Department of Health and Human Services,500,undefined,undefined,undefined,false
brain.gov,Department of Health and Human Services,200,https://braininitiative.nih.gov/,true,true,false
cancer.gov,Department of Health and Human Services,200,https://www.cancer.gov/,true,true,true
birthcontrol.gov,Department of Health and Human Services,200,https://reproductivehealthservices.gov/,true,true,true
cdc.gov,Department of Health and Human Services,200,https://www.cdc.gov/,true,true,true
cdcpartners.gov,Department of Health and Human Services,500,undefined,undefined,undefined,false
cerebrosano.gov,Department of Health and Human Services,500,undefined,undefined,undefined,false
clinicaltrials.gov,Department of Health and Human Services,200,https://clinicaltrials.gov/,true,true,false
childwelfare.gov,Department of Health and Human Services,200,https://www.childwelfare.gov/,true,true,true
cms.gov,Department of Health and Human Services,200,https://www.cms.gov/,true,true,true
clinicaltrial.gov,Department of Health and Human Services,200,http://www.clinicaltrial.gov/,false,true,false
bioethics.gov,Department of Health and Human Services,500,undefined,undefined,undefined,false
coronavirus.gov,Department of Health and Human Services,200,https://www.cdc.gov/coronavirus/2019-ncov/index.html,true,true,true
covid.gov,Department of Health and Human Services,200,https://www.covid.gov/,true,true,true
collegedrinkingprevention.gov,Department of Health and Human Services,200,https://collegedrinkingprevention.gov/,true,true,false
cuidadodesalud.gov,Department of Health and Human Services,200,https://www.cuidadodesalud.gov/es/,true,true,true
dhhs.gov,Department of Health and Human Services,200,https://www.hhs.gov/,true,true,true
covidtest.gov,Department of Health and Human Services,500,undefined,undefined,undefined,false
covidtests.gov,Department of Health and Human Services,500,undefined,undefined,undefined,false
donaciondeorganos.gov,Department of Health and Human Services,500,undefined,undefined,undefined,false
childcare.gov,Department of Health and Human Services,500,undefined,undefined,undefined,false
eldercare.gov,Department of Health and Human Services,200,https://eldercare.gov/,true,true,false
docline.gov,Department of Health and Human Services,200,https://www.docline.gov/docline/needs_authentication/?next=/docline/,true,true,true
diabetescommittee.gov,Department of Health and Human Services,200,https://www.niddk.nih.gov/about-niddk/advisory-coordinating-committees/diabetes-mellitus-interagency-coordinating-committee-dmicc?dkrd=lgdmn0022,true,true,true
drugabuse.gov,Department of Health and Human Services,200,https://nida.nih.gov/,true,true,true
fatherhood.gov,Department of Health and Human Services,403,http://fatherhood.gov/,false,true,false
fda.gov,Department of Health and Human Services,200,https://www.fda.gov/,true,true,true
familyplanning.gov,Department of Health and Human Services,200,https://reproductivehealthservices.gov/,true,true,true
everytrycounts.gov,Department of Health and Human Services,200,https://everytrycounts.betobaccofree.hhs.gov/,true,true,true
encuentraapoyo.gov,Department of Health and Human Services,200,https://www.samhsa.gov/encuentra-apoyo,true,true,true
findtreatment.gov,Department of Health and Human Services,200,https://findtreatment.gov/,true,true,false
findsupport.gov,Department of Health and Human Services,200,https://www.samhsa.gov/find-support,true,true,true
foodsafety.gov,Department of Health and Human Services,200,https://www.foodsafety.gov/,true,true,true
fitness.gov,Department of Health and Human Services,200,https://health.gov/pcsfn,true,true,true
flu.gov,Department of Health and Human Services,200,https://www.cdc.gov/flu/,true,true,true
freshempire.gov,Department of Health and Human Services,500,undefined,undefined,undefined,false
globalhealth.gov,Department of Health and Human Services,500,undefined,undefined,undefined,false
genome.gov,Department of Health and Human Services,500,undefined,undefined,undefined,false
girlshealth.gov,Department of Health and Human Services,200,https://www.girlshealth.gov/,true,true,true
fruitsandveggiesmatter.gov,Department of Health and Human Services,200,http://www.fruitsandveggiesmatter.gov/,false,true,false
grants.gov,Department of Health and Human Services,200,https://grants.gov/,true,true,false
gmta.gov,Department of Health and Human Services,200,https://gmta.gov/,true,true,true
grantsolutions.gov,Department of Health and Human Services,200,https://www.grantsolutions.gov/,true,true,true
health.gov,Department of Health and Human Services,200,https://health.gov/,true,true,true
guideline.gov,Department of Health and Human Services,200,https://www.ahrq.gov/gam/index.html,true,true,true
guidelines.gov,Department of Health and Human Services,200,https://www.ahrq.gov/gam/index.html,true,true,true
hc.gov,Department of Health and Human Services,200,https://www.healthcare.gov/,true,true,false
healthcare.gov,Department of Health and Human Services,200,https://www.healthcare.gov/,true,true,true
healthdata.gov,Department of Health and Human Services,200,https://healthdata.gov/,true,true,false
healthfinder.gov,Department of Health and Human Services,200,https://health.gov/myhealthfinder,true,true,true
healthindicators.gov,Department of Health and Human Services,200,http://www.healthindicators.gov/,false,true,false
hhs.gov,Department of Health and Human Services,200,https://www.hhs.gov/web/section-508/index.html,true,true,false
healthit.gov,Department of Health and Human Services,500,undefined,undefined,undefined,false
healthypeople.gov,Department of Health and Human Services,200,http://www.healthypeople.govhttps/healthypeople.gov/,false,true,false
hhsops.gov,Department of Health and Human Services,500,undefined,undefined,undefined,false
hiv.gov,Department of Health and Human Services,200,https://www.hiv.gov/,true,true,true
hearttruth.gov,Department of Health and Human Services,200,https://www.nhlbi.nih.gov/health-topics/education-and-awareness/heart-truth,true,true,true
hrsa.gov,Department of Health and Human Services,200,https://www.hrsa.gov/,true,true,true
idealab.gov,Department of Health and Human Services,404,https://www.hhs.gov/cto/index.html,true,true,false
ihs.gov,Department of Health and Human Services,200,https://www.ihs.gov/,true,true,true
insurekidsnow.gov,Department of Health and Human Services,200,https://www.insurekidsnow.gov/,true,true,true
longtermcare.gov,Department of Health and Human Services,502,http://longtermcare.gov/,false,true,false
hhsoig.gov,Department of Health and Human Services,500,undefined,undefined,undefined,false
medicaid.gov,Department of Health and Human Services,200,https://www.medicaid.gov/,true,true,true
medlineplus.gov,Department of Health and Human Services,200,https://medlineplus.gov/,true,true,false
medicare.gov,Department of Health and Human Services,200,https://www.medicare.gov/,true,true,true
mymedicare.gov,Department of Health and Human Services,200,https://www.medicare.gov/my/home,true,true,true
medicalbillrights.gov,Department of Health and Human Services,200,http://www.medicalbillrights.gov/,false,true,false
mesh.gov,Department of Health and Human Services,200,https://meshb.nlm.nih.gov/,true,true,true
mentalhealth.gov,Department of Health and Human Services,200,https://www.samhsa.gov/mental-health,true,true,true
nih.gov,Department of Health and Human Services,200,https://www.nih.gov/,true,true,false
nextlegends.gov,Department of Health and Human Services,200,https://therealcost.betobaccofree.hhs.gov/nextlegends,true,true,true
niosh.gov,Department of Health and Human Services,500,undefined,undefined,undefined,false
ncifcrf.gov,Department of Health and Human Services,200,http://www.ncifcrf.gov/,false,true,false
nnlm.gov,Department of Health and Human Services,200,https://www.nnlm.gov/,true,true,true
nlm.gov,Department of Health and Human Services,200,https://www.nlm.nih.gov/,true,true,true
opioids.gov,Department of Health and Human Services,200,https://www.hhs.gov/opioids/index.html,true,true,true
organdonor.gov,Department of Health and Human Services,200,https://www.organdonor.gov/,true,true,true
medicalcountermeasures.gov,Department of Health and Human Services,500,undefined,undefined,undefined,false
pandemicflu.gov,Department of Health and Human Services,200,https://www.cdc.gov/flu/pandemic-resources/index.htm,true,true,true
pubmed.gov,Department of Health and Human Services,200,https://pubmed.ncbi.nlm.nih.gov/,true,true,true
phe.gov,Department of Health and Human Services,200,https://aspr.hhs.gov/Pages/Home.aspx,true,true,true
reproductivehealthservices.gov,Department of Health and Human Services,200,https://reproductivehealthservices.gov/,true,true,true
psc.gov,Department of Health and Human Services,200,https://www.hhs.gov/about/agencies/asa/psc/index.html,true,true,true
recoverymonth.gov,Department of Health and Human Services,200,https://www.samhsa.gov/recovery-month,true,true,true
samhsa.gov,Department of Health and Human Services,200,https://www.samhsa.gov/,true,true,true
simplereport.gov,Department of Health and Human Services,200,https://www.simplereport.gov/,true,true,true
selectagents.gov,Department of Health and Human Services,200,https://selectagents.gov/,true,true,false
smokefree.gov,Department of Health and Human Services,500,undefined,undefined,undefined,false
stopalcoholabuse.gov,Department of Health and Human Services,200,https://www.stopalcoholabuse.gov/,true,true,true
thebraininitiative.gov,Department of Health and Human Services,200,https://braininitiative.nih.gov/,true,true,false
tobacco.gov,Department of Health and Human Services,200,https://betobaccofree.hhs.gov/,true,true,true
tox21.gov,Department of Health and Human Services,200,https://tox21.gov/,true,true,false
usbm.gov,Department of Health and Human Services,200,http://www.usbm.gov/,false,true,false
stopbullying.gov,Department of Health and Human Services,200,https://www.stopbullying.gov/,true,true,false
therealcost.gov,Department of Health and Human Services,500,undefined,undefined,undefined,false
surgeongeneral.gov,Department of Health and Human Services,200,https://www.hhs.gov/surgeongeneral/index.html,true,true,false
vaccines.gov,Department of Health and Human Services,200,https://www.vaccines.gov/,true,true,true
vaccine.gov,Department of Health and Human Services,200,https://www.vaccines.gov/,true,true,true
vacine.gov,Department of Health and Human Services,200,https://www.vaccines.gov/,true,true,true
usphs.gov,Department of Health and Human Services,500,undefined,undefined,undefined,false
vacines.gov,Department of Health and Human Services,200,https://www.vaccines.gov/,true,true,true
vacuna.gov,Department of Health and Human Services,200,https://www.vacunas.gov/,true,true,true
vacunas.gov,Department of Health and Human Services,200,https://www.vacunas.gov/,true,true,true
visforvaccinated.gov,Department of Health and Human Services,404,https://www.hhs.gov/visforvaccinated/index.html,true,true,true
whitehouseconferenceonaging.gov,Department of Health and Human Services,200,https://whitehouseconferenceonaging.gov/,true,true,true
womenshealth.gov,Department of Health and Human Services,200,https://www.womenshealth.gov/,true,true,true
youth.gov,Department of Health and Human Services,200,https://youth.gov/,true,true,true
cbp.gov,Department of Homeland Security,200,https://www.cbp.gov/,true,true,true
biometrics.gov,Department of Homeland Security,200,https://www.dhs.gov/biometrics,true,true,true
cisa.gov,Department of Homeland Security,200,https://www.cisa.gov/,true,true,true
cybersecurity.gov,Department of Homeland Security,200,https://www.cisa.gov/,true,true,true
cyber.gov,Department of Homeland Security,200,https://www.cisa.gov/,true,true,true
dhs.gov,Department of Homeland Security,200,https://www.dhs.gov/,true,true,true
disasterassistance.gov,Department of Homeland Security,200,https://www.disasterassistance.gov/,true,true,true
dns.gov,Department of Homeland Security,500,undefined,undefined,undefined,false
dotgov.gov,Department of Homeland Security,200,https://get.gov/,true,true,true
thisfreelife.gov,Department of Health and Human Services,500,undefined,undefined,undefined,false
e-verify.gov,Department of Homeland Security,200,https://www.e-verify.gov/,true,true,true
everify.gov,Department of Homeland Security,200,https://www.e-verify.gov/,true,true,true
whaging.gov,Department of Health and Human Services,500,undefined,undefined,undefined,false
fema.gov,Department of Homeland Security,200,https://www.fema.gov/,true,true,true
firstrespondertraining.gov,Department of Homeland Security,200,https://www.firstrespondertraining.gov/frts/,true,true,true
floodsmart.gov,Department of Homeland Security,200,https://www.floodsmart.gov/,true,true,true
evus.gov,Department of Homeland Security,200,https://www.evus.gov/,true,true,true
fletc.gov,Department of Homeland Security,200,https://www.fletc.gov/,true,true,true
fleta.gov,Department of Homeland Security,200,https://www.fleta.gov/,true,true,true
get.gov,Department of Homeland Security,200,https://get.gov/,true,true,true
globalentry.gov,Department of Homeland Security,200,https://www.cbp.gov/travel/trusted-traveler-programs/global-entry,true,true,true
homelandsecurity.gov,Department of Homeland Security,200,https://www.dhs.gov/,true,true,true
ice.gov,Department of Homeland Security,200,https://www.ice.gov/,true,true,true
juntos.gov,Department of Homeland Security,200,https://www.juntos.gov/es,true,true,true
know2protect.gov,Department of Homeland Security,500,undefined,undefined,undefined,false
cpnireporting.gov,Department of Homeland Security,500,undefined,undefined,undefined,false
ns.gov,Department of Homeland Security,500,undefined,undefined,undefined,false
power2prevent.gov,Department of Homeland Security,500,undefined,undefined,undefined,false
